param_type,param_name,out_u_bound,base,in_l_bound,out_l_bound,in_u_bound
output,g19_Phi,1,10,0.4364012048506012,0,0.4594226460511011
output,g19_phi_2,1,10,0.5554693042750195,0,0.5716855446169662
output,g20_phi_1,1,10,-0.08705029947339038,0,-0.016450386374284524
output,g20_Phi,1,10,0.30926810447712255,0,0.3387950316318055
output,g20_phi_2,1,10,0.47811898507745615,0,0.48556527948285794
output,g21_phi_1,1,10,0.38827886345963897,0,0.42452229708663275
output,g21_Phi,1,10,0.3053083678641436,0,0.3302107845715279
output,g21_phi_2,1,10,0.6450093951415786,0,0.6699580840602072
output,g22_phi_1,1,10,0.13868155351037367,0,0.16805530345913922
output,g22_Phi,1,10,0.2058807298875369,0,0.2362852774480285
output,g22_phi_2,1,10,0.5883053283394675,0,0.594867472862688
output,g23_phi_1,1,10,-0.33501035204670454,0,-0.1497153168860197
output,g23_Phi,1,10,0.4077307280263354,0,0.44169513564071705
output,g23_phi_2,1,10,0.5625426606622621,0,0.5902397783089669
output,g24_phi_1,1,10,0.25801436340674133,0,0.32510498297140744
output,g24_Phi,1,10,0.23942461800743078,0,0.256717745977487
output,g24_phi_2,1,10,0.53764282386375,0,0.5441052679963053
output,g25_phi_1,1,10,0.02077548819355783,0,0.06988999650693832
output,g25_Phi,1,10,0.3880834313836485,0,0.3976793537786056
output,g25_phi_2,1,10,0.4848690327204023,0,0.5025500161269034
output,g26_phi_1,1,10,-1.0470574922617026,0,-0.5355253565445439
output,g26_Phi,1,10,0.35806816256153845,0,0.36731864092969124
output,g26_phi_2,1,10,0.5226528534127708,0,0.5528992917461514
output,g27_phi_1,1,10,0.2051502091401808,0,0.2632572270140662
output,g27_Phi,1,10,0.21047904264524778,0,0.2231063809285873
output,g27_phi_2,1,10,0.5294175204160725,0,0.5342038510449243
output,g28_phi_1,1,10,0.2745965422569967,0,0.3440777384681007
output,g28_Phi,1,10,0.43042983179987665,0,0.4532877548516375
output,g28_phi_2,1,10,0.6243130420833378,0,0.651278013998144
output,g29_phi_1,1,10,0.1878308204439996,0,0.27946160925767294
output,g29_Phi,1,10,0.21341149458278152,0,0.2236257166937959
output,g29_phi_2,1,10,0.5240324348743908,0,0.531772605161404
output,g30_phi_1,1,10,0.16295252934572602,0,0.2111472498144923
output,g30_Phi,1,10,0.19407010762109908,0,0.2247919564926814
output,g30_phi_2,1,10,0.5916988817198284,0,0.5982979542136728
output,g31_phi_1,1,10,-0.5263962605640476,0,-0.39743001222007507
output,g31_Phi,1,10,0.31956406609216437,0,0.3311032263764991
output,g31_phi_2,1,10,0.4876897349416686,0,0.5088258808686901
output,g32_phi_1,1,10,0.3071964211494126,0,0.32729761789585454
output,g32_Phi,1,10,0.37112330058194953,0,0.385338107809055
output,g32_phi_2,1,10,0.6329328322196438,0,0.651365251895013
