param_type,param_name,out_u_bound,out_l_bound,in_u_bound,base,in_l_bound
output,g128_Phi,1,0,0.40330930382686836,10,0.3838512566033105
output,g128_phi_2,1,0,0.6589648426644349,10,0.6549366139396288
output,g129_phi_1,1,0,0.38077184344000686,10,0.3577062107846423
output,g129_Phi,1,0,0.3335480271899069,10,0.322405381067654
output,g129_phi_2,1,0,0.624323357009221,10,0.6202922479198407
output,g130_phi_1,1,0,-0.11115244264360363,10,-0.1386806988196743
output,g130_Phi,1,0,0.3252898372075511,10,0.2982852854840844
output,g130_phi_2,1,0,0.5298793038824622,10,0.5190663268649262
output,g132_phi_1,1,0,-0.22651342407235966,10,-0.4920227586085499
output,g132_Phi,1,0,0.39359275016690115,10,0.3816745176964352
output,g132_phi_2,1,0,0.48594844921644287,10,0.45898514571101273
output,g133_phi_1,1,0,-0.2087024285052061,10,-0.27271093469970403
output,g133_Phi,1,0,0.3395110657463077,10,0.3302919914681564
